timestamp,label,cpu_usage,cpu_delta,network_rx_rps,net_delta,memory_usage_mb,payment_cpu,restart_rate,pod_restarts_5m
2026-05-25 15:30:25,0,0.353494,0.049879,465.823542,62.2394,1157.578125,0.000518,0.0,1.111111
2026-05-25 15:33:56,1,0.245744,-0.07343,281.952218,-1.1697,836.871094,0.000661,0.033333,1.111111
2026-05-25 15:34:14,1,0.455322,0.209578,1184.521605,902.5694,1170.660156,0.000469,0.0,1.111111
2026-05-25 15:34:31,1,0.586147,0.130825,1542.987719,358.4661,1090.179688,0.000548,0.0,1.111111
2026-05-25 15:34:49,1,0.382378,-0.203769,721.48235,-821.5054,1083.972656,0.000749,0.033333,2.222222
2026-05-25 15:35:06,1,0.283457,-0.098921,163.961101,-557.5212,1143.550781,0.000507,0.033333,2.222222
2026-05-25 15:35:24,1,0.27366,-0.009797,216.740449,52.7793,1193.273438,0.000803,0.0,2.222222
2026-05-25 15:35:43,1,0.393587,0.119927,496.248274,279.5078,1254.847656,0.000512,0.0,2.222222
2026-05-25 15:36:01,1,0.515498,0.121911,1063.583132,567.3349,1316.8125,0.000841,0.0,2.222222
2026-05-25 15:36:18,1,0.529078,0.01358,1002.561668,-61.0215,1226.734375,0.000665,0.0,2.222222
2026-05-25 15:36:36,1,0.335474,-0.193604,318.163565,-684.3981,1237.957031,0.00064,0.0,2.222222
2026-05-25 15:36:54,1,0.331409,-0.004065,312.749768,-5.4138,1252.890625,0.000996,0.033333,3.333333
2026-05-25 15:37:11,1,0.339945,0.008536,355.09847,42.3487,1359.445312,0.000739,0.0,3.333333
2026-05-25 15:37:32,1,0.307271,-0.032674,418.398168,63.2997,1414.535156,0.000545,0.0,3.333333
2026-05-25 15:37:55,1,0.394618,0.087347,723.969796,305.5716,1500.8125,0.00027,0.0,3.333333
2026-05-25 15:38:16,1,0.441292,0.046674,875.253986,151.2842,1540.0625,0.000552,0.0,2.222222
2026-05-25 15:38:36,1,0.276559,-0.164733,540.051005,-335.203,835.515625,0.000564,0.033333,3.333333
2026-05-25 15:39:01,1,0.499989,0.22343,1403.869776,863.8188,1026.628906,0.000708,0.033333,3.333333
2026-05-25 15:39:23,1,0.575728,0.075739,1437.812212,33.9424,1125.464844,0.001091,0.0,2.222222
2026-05-25 15:39:41,1,0.472857,-0.102871,932.952577,-504.8596,1199.386719,0.00067,0.0,2.222222
2026-05-25 15:40:01,1,0.736029,0.263172,2066.440457,1133.4879,1179.738281,0.00052,0.0,2.222222
2026-05-25 15:40:22,1,0.590414,-0.145615,1582.461547,-483.9789,1222.828125,0.000841,0.0,2.222222
2026-05-25 15:40:43,1,0.358021,-0.232393,520.792798,-1061.6687,1253.003906,0.000544,0.033333,3.333333
2026-05-25 15:41:02,1,0.286357,-0.071664,207.150621,-313.6422,1244.738281,0.000461,0.033333,3.333333
2026-05-25 15:41:20,1,0.360397,0.07404,528.740681,321.5901,1272.449219,0.000656,0.0,2.222222
2026-05-25 15:41:42,1,0.416474,0.056077,838.655018,309.9143,1357.667969,0.000576,0.0,2.222222
2026-05-25 15:42:05,1,0.561431,0.144957,1319.469175,480.8142,1444.257812,0.000519,0.0,2.222222
2026-05-25 15:42:24,1,0.527037,-0.034394,1011.255393,-308.2138,1476.960938,0.000696,0.0,2.222222
2026-05-25 15:42:42,1,0.359628,-0.167409,595.09435,-416.161,812.363281,0.000525,0.033333,3.333333
2026-05-25 15:42:59,1,0.287191,-0.072437,924.728519,329.6342,820.753906,0.000664,0.033333,3.333333
2026-05-25 15:43:17,1,0.384552,0.097361,972.855766,48.1272,1071.539062,0.000459,0.033333,3.333333
2026-05-25 15:43:34,1,0.32449,-0.060062,323.765902,-649.0899,1102.390625,0.000611,0.033333,3.333333
2026-05-25 15:43:51,1,0.334141,0.009651,362.637066,38.8712,1140.824219,0.000727,0.0,3.333333
2026-05-25 15:44:09,1,0.390963,0.056822,473.810937,111.1739,1210.613281,0.000543,0.0,3.333333
2026-05-25 15:44:27,1,0.528156,0.137193,1105.641274,631.8303,1299.734375,0.000757,0.0,3.333333
2026-05-25 15:44:44,1,0.720307,0.192151,2458.019113,1352.3778,1288.425781,0.000687,0.033333,4.444444
2026-05-25 15:45:02,1,0.667184,-0.053123,2376.597086,-81.422,1302.714844,0.00073,0.033333,4.444444
2026-05-25 15:45:19,1,0.506591,-0.160593,1980.167918,-396.4292,1296.597656,0.00094,0.0,3.333333
2026-05-25 15:45:38,1,0.340757,-0.165834,486.476752,-1493.6912,1307.21875,0.00061,0.0,3.333333
2026-05-25 15:45:56,1,0.482148,0.141391,1171.317266,684.8405,1424.875,0.000341,0.0,3.333333
2026-05-25 15:46:13,1,0.643036,0.160888,1797.582613,626.2653,1582.414062,0.000605,0.0,3.333333
